method,mse,psnr_db
Noisy input,0.052624323296546933,12.809249618530274
Gaussian filter,0.025949692931771278,15.922272409057618
FC autoencoder,0.014340710657835007,19.140809533691407
Conv autoencoder,0.013170236602425575,19.51182442626953
